service_level,total_cost,scri_viol,VaR95,TVaR95,method,seed,episode,s,S
0.021839080459770115,4662.7,3,1246.8,1288.0,"sS(s=0,S=20)",42,19,0.0,20.0
0.01789549033643522,5110.0,1,1468.6,1516.0,"sS(s=0,S=20)",42,20,0.0,20.0
0.035506998975759645,5350.4,5,1476.44,1490.0,"sS(s=0,S=20)",42,21,0.0,20.0
0.01584786053882726,5832.0,1,1623.8,1684.0,"sS(s=0,S=20)",42,22,0.0,20.0
0.02250351617440225,5346.4,2,1431.44,1448.0,"sS(s=0,S=20)",42,23,0.0,20.0
0.017869907076483203,5063.0,1,1306.4,1334.0,"sS(s=0,S=20)",42,24,0.0,20.0
0.01751927119831815,5155.0,0,1400.0,1442.0,"sS(s=0,S=20)",42,25,0.0,20.0
0.01868460388639761,4984.0,8,1319.6,1336.0,"sS(s=0,S=20)",42,26,0.0,20.0
0.02030789387487717,5674.2,4,1640.8,1644.0,"sS(s=0,S=20)",42,27,0.0,20.0
0.019425019425019424,4595.0,0,1323.6,1390.0,"sS(s=0,S=20)",42,28,0.0,20.0
0.018109380659181457,4889.0,0,1585.1999999999998,1728.0,"sS(s=0,S=20)",42,29,0.0,20.0
0.01781895937277263,5059.0,0,1290.8,1306.0,"sS(s=0,S=20)",42,30,0.0,20.0
0.016943409013893594,5429.0,0,1437.6,1468.0,"sS(s=0,S=20)",42,31,0.0,20.0
0.0316951566951567,5108.7,0,1252.4,1254.0,"sS(s=0,S=20)",42,32,0.0,20.0
0.02612214863870493,4938.0,2,1382.42,1406.0,"sS(s=0,S=20)",42,33,0.0,20.0
0.024971187091817133,4829.5,6,1454.0,1554.0,"sS(s=0,S=20)",42,34,0.0,20.0
0.019402405898331393,4641.0,0,1217.2,1250.0,"sS(s=0,S=20)",42,35,0.0,20.0
0.01701258931609391,5330.0,2,1429.6,1453.0,"sS(s=0,S=20)",42,36,0.0,20.0
0.02512562814070352,5101.0,3,1409.4,1429.0,"sS(s=0,S=20)",42,37,0.0,20.0
0.017397355601948505,5235.0,0,1516.8,1584.0,"sS(s=0,S=20)",42,38,0.0,20.0
0.027709861450692746,4491.8,3,1298.8799999999999,1313.6,"sS(s=0,S=20)",42,39,0.0,20.0
0.019938650306748466,4783.2,2,1340.8,1352.0,"sS(s=0,S=20)",42,40,0.0,20.0
0.017761989342806393,5077.0,0,1290.4,1318.0,"sS(s=0,S=20)",42,41,0.0,20.0
0.01701258931609391,5415.0,2,1550.0,1612.0,"sS(s=0,S=20)",42,42,0.0,20.0
0.021942299878098336,4514.4,1,1063.72,1066.4,"sS(s=0,S=20)",42,43,0.0,20.0
0.017513134851138354,5157.0,0,1278.0,1290.0,"sS(s=0,S=20)",42,44,0.0,20.0
0.018975332068311195,4757.0,0,1222.8,1244.0,"sS(s=0,S=20)",42,45,0.0,20.0
0.01656726308813784,5523.0,0,1632.8,1726.0,"sS(s=0,S=20)",42,46,0.0,20.0
0.01768033946251768,5258.0,1,1432.6,1452.0,"sS(s=0,S=20)",42,47,0.0,20.0
0.027058823529411764,4548.9,0,1126.6399999999999,1137.8,"sS(s=0,S=20)",42,48,0.0,20.0
0.017998560115190784,5248.0,9,1374.6,1379.0,"sS(s=0,S=20)",42,49,0.0,20.0
0.020113851992409868,4787.3,6,1189.86,1197.0,"sS(s=0,S=25)",42,0,0.0,25.0
0.02074990899162723,4851.7,0,1255.8,1263.0,"sS(s=0,S=25)",42,1,0.0,25.0
0.017391304347826087,5177.0,2,1479.0,1540.0,"sS(s=0,S=25)",42,2,0.0,25.0
0.018511662347278787,4834.0,0,1320.6,1353.0,"sS(s=0,S=25)",42,3,0.0,25.0
0.020353302611367127,4615.3,2,1299.8,1333.0,"sS(s=0,S=25)",42,4,0.0,25.0
0.02529960053262317,5397.6,5,1301.08,1306.6,"sS(s=0,S=25)",42,5,0.0,25.0
0.029937791601866253,4578.7,2,1238.22,1255.0,"sS(s=0,S=25)",42,6,0.0,25.0
0.01812250815512867,4965.0,1,1243.3999999999999,1277.0,"sS(s=0,S=25)",42,7,0.0,25.0
0.018288222384784197,4915.0,3,1476.8,1499.0,"sS(s=0,S=25)",42,8,0.0,25.0
0.019015280135823428,5297.6,0,1330.2,1331.0,"sS(s=0,S=25)",42,9,0.0,25.0
0.02763819095477387,4896.7,4,1207.8,1209.0,"sS(s=0,S=25)",42,10,0.0,25.0
0.0186219739292365,4752.0,0,1377.8,1417.0,"sS(s=0,S=25)",42,11,0.0,25.0
0.02279901788846019,5035.5,0,1574.2,1634.0,"sS(s=0,S=25)",42,12,0.0,25.0
0.021060275962236745,4980.8,3,1292.96,1313.0,"sS(s=0,S=25)",42,13,0.0,25.0
0.02217125382262997,4729.8,6,1260.04,1269.8,"sS(s=0,S=25)",42,14,0.0,25.0
0.017806267806267807,4963.0,3,1369.2,1373.0,"sS(s=0,S=25)",42,15,0.0,25.0
0.020179372197309416,4764.4,0,1432.0,1465.0,"sS(s=0,S=25)",42,16,0.0,25.0
0.017605633802816902,5122.0,3,1367.0,1408.0,"sS(s=0,S=25)",42,17,0.0,25.0
0.017959770114942528,5015.0,3,1348.3999999999999,1400.0,"sS(s=0,S=25)",42,18,0.0,25.0
0.027586206896551724,4534.2,3,1211.8,1253.0,"sS(s=0,S=25)",42,19,0.0,25.0
0.01789549033643522,5005.0,1,1447.6,1501.0,"sS(s=0,S=25)",42,20,0.0,25.0
0.04404233526800956,5227.9,5,1444.74,1455.0,"sS(s=0,S=25)",42,21,0.0,25.0
0.01584786053882726,5727.0,1,1604.8,1669.0,"sS(s=0,S=25)",42,22,0.0,25.0
0.03481012658227848,5274.9,2,1391.84,1408.0,"sS(s=0,S=25)",42,23,0.0,25.0
0.02108649035025018,4973.9,1,1271.4,1289.0,"sS(s=0,S=25)",42,24,0.0,25.0
0.020322354590049056,5065.8,0,1367.36,1407.0,"sS(s=0,S=25)",42,25,0.0,25.0
0.01868460388639761,4879.0,8,1284.6,1301.0,"sS(s=0,S=25)",42,26,0.0,25.0
0.026858827382902063,5566.2,4,1610.2,1613.0,"sS(s=0,S=25)",42,27,0.0,25.0
0.019425019425019424,4480.0,0,1280.6,1345.0,"sS(s=0,S=25)",42,28,0.0,25.0
0.018109380659181457,4754.0,0,1558.1999999999998,1703.0,"sS(s=0,S=25)",42,29,0.0,25.0
0.01781895937277263,4944.0,0,1255.8,1271.0,"sS(s=0,S=25)",42,30,0.0,25.0
0.016943409013893594,5334.0,0,1418.6,1453.0,"sS(s=0,S=25)",42,31,0.0,25.0
0.03774928774928775,5030.9,0,1205.74,1211.0,"sS(s=0,S=25)",42,32,0.0,25.0
0.03348050036791759,4825.0,2,1361.82,1381.0,"sS(s=0,S=25)",42,33,0.0,25.0
0.03073376872839032,4726.0,5,1424.0,1519.0,"sS(s=0,S=25)",42,34,0.0,25.0
0.020954598370197905,4561.4,0,1210.52,1250.4,"sS(s=0,S=25)",42,35,0.0,25.0
0.01701258931609391,5205.0,2,1402.6,1428.0,"sS(s=0,S=25)",42,36,0.0,25.0
0.03409906676238335,4993.5,3,1379.9,1404.0,"sS(s=0,S=25)",42,37,0.0,25.0
0.017397355601948505,5130.0,0,1473.8,1539.0,"sS(s=0,S=25)",42,38,0.0,25.0
0.03993480032599837,4389.8,2,1253.8799999999999,1266.1,"sS(s=0,S=25)",42,39,0.0,25.0
0.021855828220858894,4683.7,2,1303.8,1317.0,"sS(s=0,S=25)",42,40,0.0,25.0
0.020959147424511545,5012.9,0,1259.48,1278.1,"sS(s=0,S=25)",42,41,0.0,25.0
0.020074855392990813,5335.9,2,1507.0,1567.0,"sS(s=0,S=25)",42,42,0.0,25.0
0.023973994311255586,4424.9,1,1065.1200000000001,1071.9,"sS(s=0,S=25)",42,43,0.0,25.0
0.017513134851138354,5042.0,0,1250.2,1265.0,"sS(s=0,S=25)",42,44,0.0,25.0
0.018975332068311195,4652.0,0,1185.8,1209.0,"sS(s=0,S=25)",42,45,0.0,25.0
0.01656726308813784,5418.0,0,1611.8,1711.0,"sS(s=0,S=25)",42,46,0.0,25.0
0.01768033946251768,5173.0,1,1407.6,1427.0,"sS(s=0,S=25)",42,47,0.0,25.0
0.03882352941176471,4436.9,0,1108.24,1134.8,"sS(s=0,S=25)",42,48,0.0,25.0
0.017998560115190784,5143.0,9,1345.6,1354.0,"sS(s=0,S=25)",42,49,0.0,25.0
0.027703984819734344,4689.3,6,1158.26,1162.0,"sS(s=0,S=30)",42,0,0.0,30.0
0.024390243902439025,4742.7,0,1220.8,1228.0,"sS(s=0,S=30)",42,1,0.0,30.0
0.017391304347826087,5072.0,2,1460.0,1525.0,"sS(s=0,S=30)",42,2,0.0,30.0
0.018511662347278787,4739.0,0,1293.6,1328.0,"sS(s=0,S=30)",42,3,0.0,30.0
0.026113671274961597,4506.8,2,1266.8,1298.0,"sS(s=0,S=30)",42,4,0.0,30.0
0.03362183754993342,5270.1,4,1268.08,1269.1,"sS(s=0,S=30)",42,5,0.0,30.0
0.045489891135303266,4477.7,2,1244.7,1280.0,"sS(s=0,S=30)",42,6,0.0,30.0
0.01812250815512867,4870.0,1,1216.3999999999999,1252.0,"sS(s=0,S=30)",42,7,0.0,30.0
0.020848573518653987,4870.7,3,1442.2,1454.0,"sS(s=0,S=30)",42,8,0.0,30.0
0.024108658743633278,5199.1,0,1296.8,1302.0,"sS(s=0,S=30)",42,9,0.0,30.0
0.035175879396984924,4798.8,4,1198.8,1209.0,"sS(s=0,S=30)",42,10,0.0,30.0
0.0186219739292365,4647.0,0,1344.8,1382.0,"sS(s=0,S=30)",42,11,0.0,30.0
0.03858295334970186,4925.0,0,1517.2,1574.0,"sS(s=0,S=30)",42,12,0.0,30.0
0.02287581699346405,4881.3,3,1267.06,1288.0,"sS(s=0,S=30)",42,13,0.0,30.0
0.02790519877675841,4631.3,6,1236.6399999999999,1256.3,"sS(s=0,S=30)",42,14,0.0,30.0
0.017806267806267807,4838.0,3,1346.2,1358.0,"sS(s=0,S=30)",42,15,0.0,30.0
0.028026905829596414,4696.5,1,1445.8799999999999,1491.1,"sS(s=0,S=30)",42,16,0.0,30.0
0.019014084507042252,5047.4,3,1328.08,1363.0,"sS(s=0,S=30)",42,17,0.0,30.0
0.022988505747126436,4941.4,3,1310.52,1346.4,"sS(s=0,S=30)",42,18,0.0,30.0
0.03524904214559387,4436.2,3,1176.8,1218.0,"sS(s=0,S=30)",42,19,0.0,30.0
0.018611309949892626,4930.2,1,1438.6,1486.0,"sS(s=0,S=30)",42,20,0.0,30.0
0.05257767156025948,5095.4,4,1411.04,1420.0,"sS(s=0,S=30)",42,21,0.0,30.0
0.016164817749603804,5662.1,2,1592.2,1654.0,"sS(s=0,S=30)",42,22,0.0,30.0
0.047116736990154715,5203.4,2,1352.24,1368.0,"sS(s=0,S=30)",42,23,0.0,30.0
0.02466047176554682,4864.9,1,1228.4,1244.0,"sS(s=0,S=30)",42,24,0.0,30.0
0.0255781359495445,4957.3,0,1334.0,1372.0,"sS(s=0,S=30)",42,25,0.0,30.0
0.01868460388639761,4774.0,8,1249.6,1266.0,"sS(s=0,S=30)",42,26,0.0,30.0
0.033409760890926954,5458.2,4,1589.2,1598.0,"sS(s=0,S=30)",42,27,0.0,30.0
0.019425019425019424,4365.0,0,1237.6,1300.0,"sS(s=0,S=30)",42,28,0.0,30.0
0.0199203187250996,4649.5,0,1547.1999999999998,1698.0,"sS(s=0,S=30)",42,29,0.0,30.0
0.01781895937277263,4829.0,0,1220.8,1236.0,"sS(s=0,S=30)",42,30,0.0,30.0
0.016943409013893594,5239.0,0,1399.6,1438.0,"sS(s=0,S=30)",42,31,0.0,30.0
0.04665242165242165,4933.9,0,1168.04,1176.0,"sS(s=0,S=30)",42,32,0.0,30.0
0.04083885209713024,4712.0,2,1341.22,1356.0,"sS(s=0,S=30)",42,33,0.0,30.0
0.0364963503649635,4632.5,5,1394.0,1484.0,"sS(s=0,S=30)",42,34,0.0,30.0
0.027551416375630577,4493.1,0,1197.76,1236.9,"sS(s=0,S=30)",42,35,0.0,30.0
0.01701258931609391,5101.0,2,1375.6,1403.0,"sS(s=0,S=30)",42,36,0.0,30.0
0.049174443646805455,4917.7,3,1350.3999999999999,1379.0,"sS(s=0,S=30)",42,37,0.0,30.0
0.017397355601948505,5025.0,0,1430.8,1494.0,"sS(s=0,S=30)",42,38,0.0,30.0
0.05215973920130399,4297.8,2,1216.8799999999999,1228.6,"sS(s=0,S=30)",42,39,0.0,30.0
0.024539877300613498,4624.4,3,1274.84,1282.0,"sS(s=0,S=30)",42,40,0.0,30.0
0.034458259325044406,4941.7,0,1240.8799999999999,1263.6,"sS(s=0,S=30)",42,41,0.0,30.0
0.027560394692072134,5278.1,3,1496.96,1563.2,"sS(s=0,S=30)",42,42,0.0,30.0
0.02600568874441284,4335.4,1,1066.52,1077.4,"sS(s=0,S=30)",42,43,0.0,30.0
0.017513134851138354,4927.0,0,1223.2,1240.0,"sS(s=0,S=30)",42,44,0.0,30.0
0.027703984819734344,4609.3,0,1218.24,1264.3,"sS(s=0,S=30)",42,45,0.0,30.0
0.01656726308813784,5313.0,0,1590.8,1696.0,"sS(s=0,S=30)",42,46,0.0,30.0
0.020155586987270154,5118.7,1,1382.6,1402.0,"sS(s=0,S=30)",42,47,0.0,30.0
0.05529411764705883,4356.1,0,1104.06,1131.8,"sS(s=0,S=30)",42,48,0.0,30.0
0.017998560115190784,5038.0,9,1316.6,1329.0,"sS(s=0,S=30)",42,49,0.0,30.0
0.03529411764705882,4591.3,6,1126.66,1127.0,"sS(s=0,S=35)",42,0,0.0,35.0
0.028030578813250818,4633.7,0,1185.8,1193.0,"sS(s=0,S=35)",42,1,0.0,35.0
